station_id,region_id,short_name,capacity,lon,lat,external_id,geometry
3,3,SF-G27,35,-122.40490436553954,37.78637526861584,1b13a386-c5f4-42cc-bc3b-ded95982e090,POINT (-122.4049043655395 37.78637526861584)
4,3,SF-G26,35,-122.4089150084319,37.78588062694133,a00d04e6-0159-466a-b3ab-23f9550f418c,POINT (-122.4089150084319 37.78588062694133)
5,3,SF-H26,35,-122.40844488143921,37.783899357084934,a1e0b4b2-2c5c-4201-a78c-9e8a2152ab4e,POINT (-122.4084448814392 37.78389935708493)
6,3,SF-A27,23,-122.403234,37.80477,23a2bad4-3ea1-4545-87eb-acbee3efccfc,POINT (-122.403234 37.80477)
7,12,OK-L5,35,-122.27173805236816,37.8045623549303,9e3efff1-3d42-46fd-8206-4021277ba6c2,POINT (-122.2717380523682 37.8045623549303)
8,3,SF-C28-1,23,-122.398525,37.799953,7c7ac914-40e5-426d-b9c4-f12b1a556be8,POINT (-122.398525 37.799953)
9,3,SF-C28-2,19,-122.40086898207666,37.79857210846256,75f6691a-df0a-4d7a-8b35-e5ffe33add4f,POINT (-122.4008689820767 37.79857210846256)
10,3,SF-D27,31,-122.4047702550888,37.79539293725452,e5b0aca4-2ce6-49f8-82e8-8eed6e004147,POINT (-122.4047702550888 37.79539293725452)
11,3,SF-D28,35,-122.398436,37.79728,faad71bc-21e3-4ce1-8b84-63f782a91d1b,POINT (-122.398436 37.79728)
12,3,SF-D29,23,-122.3945855,37.7963894,4fc98cbd-9c9b-401b-95a6-927e30bdbd46,POINT (-122.3945855 37.7963894)
13,3,SF-E27,23,-122.402923,37.794231,e82e7160-d8fb-452b-8f27-c0f75926d080,POINT (-122.402923 37.794231)
14,3,SF-E28,31,-122.39997,37.795001,ed1bf0f9-aa06-4f57-8cd6-5775ff3c29f0,POINT (-122.39997 37.795001)
15,3,SF-E29-1,38,-122.394203,37.795392,b2e9118f-aafb-49fb-b237-4ba08e21f51f,POINT (-122.394203 37.795392)
16,3,SF-E29-2,25,-122.39483803510664,37.79449744600207,84b1ea89-19b6-4f78-92e2-2a161f75e67e,POINT (-122.3948380351066 37.79449744600207)
17,3,SF-E29-3,27,-122.397086,37.792251,16fea24d-ec2c-4e37-8f63-fc9f793de2cf,POINT (-122.397086 37.792251)
18,12,OK-A2,11,-122.26017236709595,37.85022187449679,790da352-5aaa-4bb9-8453-e8ec2f78c038,POINT (-122.2601723670959 37.85022187449679)
19,3,SF-F27,35,-122.403452,37.788975,3213dcdb-2ba7-46ad-b358-258a34bde9e0,POINT (-122.403452 37.788975)
20,3,SF-F28-1,23,-122.399051,37.7913,cf56994c-cdd6-4586-9f56-eea2f51e81ae,POINT (-122.399051 37.7913)
21,3,SF-F28-2,39,-122.400811,37.7896254,2b935f1b-2659-4d82-a348-6a3bb083914d,POINT (-122.400811 37.7896254)
22,3,SF-F29,27,-122.394643,37.789756,083eaf2a-4d3f-4d83-986a-98f67f7f22b4,POINT (-122.394643 37.789756)
23,3,SF-F30-1,23,-122.391034,37.791464,6327ad76-fdd0-4ea8-a09a-f1bccca719b3,POINT (-122.391034 37.791464)
24,3,SF-F30-2,19,-122.3904285,37.7896767,380aa51b-4c0a-4388-ad78-37edf7338a3e,POINT (-122.3904285 37.7896767)
25,3,SF-G28-1,19,-122.39811301231384,37.78692825678771,d79ae08e-a8d2-4aad-9f98-9b20afb8f6e0,POINT (-122.3981130123138 37.78692825678771)
26,3,SF-G29-2,19,-122.39438,37.78729,a40fc1eb-e8e9-4d41-8f77-71365f0d9064,POINT (-122.39438 37.78729)
27,3,SF-G30-1,23,-122.3918648,37.7880593,4a0d887c-7e9d-4f15-a28b-aeeff05f81b6,POINT (-122.3918648 37.7880593)
28,3,SF-G30-2,19,-122.38809792330358,37.78716801474664,9fae2998-e458-47f8-9c7c-978e01f05330,POINT (-122.3880979233036 37.78716801474664)
29,3,SF-H18,27,-122.43944585323335,37.782404601934104,3144f47a-86f7-40f6-9ff0-5c8120babf6a,POINT (-122.4394458532334 37.7824046019341)
30,3,SF-J29,19,-122.395282,37.776598,ea11aa7f-c070-46a4-a074-70604340efa2,POINT (-122.395282 37.776598)
31,3,SF-G19,31,-122.43455886840819,37.78381270927812,08302771-1d45-4ec8-be85-7359fc89edd4,POINT (-122.4345588684082 37.78381270927812)
33,3,SF-H24,23,-122.4154077,37.7816495,fcd1d64c-949b-459f-a335-1e0c3ed231d4,POINT (-122.4154077 37.7816495)
34,3,SF-H25,23,-122.412408,37.7839879,b48ebe9a-8d7b-4ac1-b0da-db5978404330,POINT (-122.412408 37.7839879)
35,5,SJ-M6,23,-121.90457582473755,37.32911866814779,28988488-fb74-4bbc-9e69-613698b2dd8c,POINT (-121.9045758247375 37.32911866814779)
36,3,SF-H28,31,-122.39887,37.78383,a81b1594-ce38-4374-b256-3f183c8e12bc,POINT (-122.39887 37.78383)
37,3,SF-H29,39,-122.39690601825714,37.785376593819436,dcb5ad16-caa9-4d40-b279-6d36152069a2,POINT (-122.3969060182571 37.78537659381944)
38,3,SF-H30,26,-122.38792061805725,37.78292608704408,8517bd49-73e1-4b27-8686-d9f38a1f1ec3,POINT (-122.3879206180573 37.78292608704408)
39,3,SF-I19,27,-122.4368608,37.7789994,86fae8b7-9d4f-499a-9437-422a07103c57,POINT (-122.4368608 37.7789994)
41,3,SF-I23-1,31,-122.41874,37.78127,8b2524c3-cc5f-4a3d-97f6-224a540d3ecc,POINT (-122.41874 37.78127)
42,3,SF-I23-2,19,-122.41823,37.77865,64ce6633-9ea3-4dc1-b33f-c9d14c523a6a,POINT (-122.41823 37.77865)
43,3,SF-I24,31,-122.4159292,37.7787677,54c91186-8493-44d1-ac4f-435350fee797,POINT (-122.4159292 37.7787677)
44,3,SF-I25,31,-122.4117382,37.7810737,6ab85eb1-e112-4c57-8a44-110120d68a1d,POINT (-122.4117382 37.7810737)
46,12,OK-L12,15,-122.24237322807312,37.79013985185364,6064907e-3871-4b2c-829b-d01406cee6fb,POINT (-122.2423732280731 37.79013985185364)
47,3,SF-I28,19,-122.40081131458284,37.78067477132274,3c09035e-28d3-4031-9148-51c08343856b,POINT (-122.4008113145828 37.78067477132274)
49,3,SF-I29-2,30,-122.3949894,37.7807601,a6bfff23-97d9-4a9d-b999-dd85168d8812,POINT (-122.3949894 37.7807601)
50,3,SF-I30,39,-122.390288,37.780526,ba25987f-399d-49ce-9354-52785e48ea13,POINT (-122.390288 37.780526)
51,3,SF-J15,27,-122.4530929327011,37.77610091264586,f2c2ba49-25e1-4493-8565-5df5af66e153,POINT (-122.4530929327011 37.77610091264586)
52,3,SF-J17,27,-122.4418376,37.7774157,73fccaab-205c-4b1e-a547-5fb0f2a58056,POINT (-122.4418376 37.7774157)
53,3,SF-J18,27,-122.4377775,37.775946,d533df76-e03c-4ef3-b928-968aaed45823,POINT (-122.4377775 37.775946)
54,3,SF-J19,23,-122.43327409029006,37.77754677017323,2b140c2a-c038-4983-9290-d801db8a13f5,POINT (-122.4332740902901 37.77754677017323)
55,3,SF-J20,27,-122.4295585,37.7770527,fde4cecd-7497-4bdb-a452-0e1a755e7759,POINT (-122.4295585 37.7770527)
56,3,SF-K21,27,-122.42731690406801,37.77341396997343,891d3a5f-05ab-45f2-8427-b74a1ec12d5b,POINT (-122.427316904068 37.77341396997343)
58,3,SF-J23-1,31,-122.417385,37.776619,a9c46d92-b21e-489a-b922-3deb4ec1ab35,POINT (-122.417385 37.776619)
59,3,SF-J23-2,27,-122.418954,37.774814,4990eb75-f06e-4737-b5e8-03f8f45ffe66,POINT (-122.418954 37.774814)
60,3,SF-J24,31,-122.4094493687153,37.77452040113685,1822622c-b9e0-43fe-8bf9-9f26024aa426,POINT (-122.4094493687153 37.77452040113685)
61,3,SF-J25,27,-122.4113061,37.7765126,6156f831-ca96-459d-aafe-685420751e4d,POINT (-122.4113061 37.7765126)
62,3,SF-J26,15,-122.40643188357353,37.77779057034257,03eb8b17-d20f-400c-a98a-dcbc947228af,POINT (-122.4064318835735 37.77779057034257)
63,3,SF-J27,19,-122.40257500673577,37.775910222333366,7d463937-ff3e-4fb2-802a-f5b7cca1159e,POINT (-122.4025750067358 37.77591022233337)
64,3,SF-J28,1,-122.3990176,37.7767539,5d14b4a5-720a-4849-8f65-78165d8bf63c,POINT (-122.3990176 37.7767539)
