Start;End;Sleep quality;Time in bed;Wake up;Sleep Notes;Heart rate;Activity (steps)
2018-11-02 00:51:13;2018-11-02 06:01:06;47%;5:09;:|;;0;0
2018-11-03 01:55:17;2018-11-03 06:53:56;52%;4:58;:|;;0;0
2018-11-04 02:05:53;2018-11-04 07:46:23;52%;5:40;:|;;0;1423
2018-11-05 01:07:05;2018-11-05 06:01:44;58%;4:54;:|;;0;8
2018-11-06 00:41:35;2018-11-06 06:01:08;53%;5:19;:|;;0;0
2018-11-07 01:08:52;2018-11-07 06:00:22;45%;4:51;:|;;0;0
2018-11-09 00:54:25;2018-11-09 05:24:50;45%;4:30;:|;;0;0
2018-11-10 03:18:44;2018-11-10 07:42:28;45%;4:23;:);;0;24
2018-11-13 02:12:32;2018-11-13 05:49:34;43%;3:37;:|;;0;0
2018-11-13 05:49:48;2018-11-13 06:48:43;13%;0:58;:|;;0;0
2018-11-14 02:57:49;2018-11-14 06:29:11;33%;3:31;:|;;0;0
2018-11-15 01:30:41;2018-11-15 06:14:21;50%;4:43;:);;0;739
2018-11-16 01:23:25;2018-11-16 06:36:08;59%;5:12;:|;;0;824
2018-11-17 01:52:53;2018-11-17 07:49:08;53%;5:56;:|;;0;648
2018-11-18 01:49:09;2018-11-18 08:30:21;67%;6:41;:|;;0;1794
2018-11-19 02:22:34;2018-11-19 07:05:02;45%;4:42;:|;;0;1469
2018-11-20 03:16:12;2018-11-20 06:37:16;38%;3:21;:|;;0;4228
2018-11-21 01:11:08;2018-11-21 06:29:53;41%;5:18;:|;;0;1422
2018-11-24 01:59:08;2018-11-24 07:00:19;53%;5:01;:|;;0;4079
2018-11-25 02:58:52;2018-11-25 08:57:18;59%;5:58;:|;;0;388
2018-11-26 01:03:30;2018-11-26 06:10:54;22%;5:07;:(;;0;860
2018-11-27 05:07:14;2018-11-27 07:00:54;18%;1:53;:);;0;752
2018-11-27 22:38:13;2018-11-27 23:58:41;17%;1:20;:|;;0;899
2018-11-28 01:06:37;2018-11-28 01:23:32;4%;0:16;:|;;49;899
2018-11-28 02:01:35;2018-11-28 06:22:03;46%;4:20;:|;;62;899
2018-11-29 00:19:27;2018-11-29 06:07:07;58%;5:47;:);;54;1094
2018-11-30 00:24:30;2018-11-30 06:07:54;56%;5:43;:);;78;652
2018-12-02 01:06:22;2018-12-02 08:01:15;65%;6:54;:|;;0;897
2018-12-02 23:56:39;2018-12-03 05:47:44;61%;5:51;:|;;55;1660
2018-12-03 05:48:20;2018-12-03 06:40:54;11%;0:52;:|;;71;1660
2018-12-04 00:51:50;2018-12-04 01:07:53;4%;0:16;:|;;0;1362
2018-12-04 05:18:47;2018-12-04 06:22:12;14%;1:03;:|;;64;1362
2018-12-05 01:23:01;2018-12-05 06:44:09;56%;5:21;:|;;67;1687
2018-12-06 00:31:24;2018-12-06 06:45:42;65%;6:14;:|;;62;2610
2018-12-06 22:49:05;2018-12-07 06:02:09;72%;7:13;:|;;50;816
2018-12-11 03:06:18;2018-12-11 06:43:14;40%;3:36;:|;;45;845
2018-12-12 01:13:44;2018-12-12 06:46:19;48%;5:32;:|;;50;1748
2018-12-13 04:41:47;2018-12-13 06:36:18;23%;1:54;:|;;78;2002
2018-12-16 04:43:03;2018-12-16 08:15:31;35%;3:32;:|;;46;2150
2018-12-17 06:01:31;2018-12-17 06:21:36;4%;0:20;:|;;49;33
2018-12-18 01:13:26;2018-12-18 06:04:41;45%;4:51;:|;;49;2408
2018-12-19 00:45:12;2018-12-19 05:56:25;57%;5:11;:|;;76;1307
2018-12-19 23:20:25;2018-12-20 06:38:09;76%;7:17;:|;;67;1419
2018-12-21 01:19:09;2018-12-21 06:01:08;42%;4:41;:|;;56;3251
2018-12-23 05:50:27;2018-12-23 09:59:16;43%;4:08;:(;;0;1141
2018-12-23 23:51:24;2018-12-24 06:20:27;66%;6:29;:|;;0;2233
2018-12-24 06:20:43;2018-12-24 07:34:43;16%;1:14;:|;;0;0
2018-12-26 02:57:12;2018-12-26 07:17:55;53%;4:20;:|;;0;3954
2018-12-27 02:42:08;2018-12-27 06:46:39;43%;4:04;:|;;0;5394
2018-12-28 01:10:59;2018-12-28 07:23:40;70%;6:12;:|;;48;4406
2018-12-29 02:22:30;2018-12-29 07:00:55;52%;4:38;:|;;0;903
2018-12-29 07:01:34;2018-12-29 09:11:15;13%;2:09;:);;0;140
2018-12-30 02:25:00;2018-12-30 07:40:38;48%;5:15;:|;;0;5931
2018-12-31 01:33:20;2018-12-31 06:03:42;51%;4:30;:|;;0;834
2018-12-31 06:04:33;2018-12-31 07:21:15;16%;1:16;:|;;0;9
2019-01-01 03:31:45;2019-01-01 06:38:31;36%;3:06;:|;;0;1000
2019-01-02 00:21:29;2019-01-02 06:10:47;66%;5:49;:|;;0;1182
2019-01-02 06:11:52;2019-01-02 07:18:37;14%;1:06;:|;;0;0
2019-01-02 23:59:56;2019-01-03 05:00:27;39%;5:00;:|;;52;3480
2019-01-03 23:30:32;2019-01-04 05:06:30;63%;5:35;:|;;46;5694
2019-01-05 01:31:49;2019-01-05 06:59:05;59%;5:27;:|;;50;2713
2019-01-06 01:46:39;2019-01-06 07:01:58;55%;5:15;:|;;0;1978
2019-01-06 07:58:18;2019-01-06 08:44:41;9%;0:46;:(;;0;70
2019-01-06 23:20:05;2019-01-07 05:46:08;65%;6:26;:|;;0;2530
2019-01-10 02:13:53;2019-01-10 06:03:48;44%;3:49;:|;;50;2912
2019-01-11 01:29:06;2019-01-11 07:44:00;67%;6:14;:|;;79;832
2019-01-12 04:16:50;2019-01-12 06:26:10;24%;2:09;:|;;0;1542
2019-01-13 03:07:14;2019-01-13 09:21:54;67%;6:14;:(;;0;7472
2019-01-14 01:17:23;2019-01-14 06:32:06;58%;5:14;:|;;0;1277
2019-01-14 06:32:48;2019-01-14 07:53:25;17%;1:20;:|;;0;0
2019-01-14 23:44:16;2019-01-15 06:50:20;75%;7:06;:|;;0;1917
2019-01-15 23:35:08;2019-01-16 06:01:51;71%;6:26;:|;;0;2244
2019-01-16 23:58:33;2019-01-17 06:12:03;60%;6:13;:|;;0;4102
2019-01-18 00:54:23;2019-01-18 06:53:53;64%;5:59;:|;;0;4235
2019-01-19 00:32:58;2019-01-19 01:18:24;9%;0:45;:(;;0;3599
2019-01-19 01:57:08;2019-01-19 06:00:08;44%;4:02;:(;;0;3599
2019-01-22 01:44:17;2019-01-22 05:07:32;38%;3:23;:|;;0;625
2019-01-22 05:07:51;2019-01-22 06:20:18;15%;1:12;:|;;0;625
2019-01-22 06:20:30;2019-01-22 07:08:09;10%;0:47;:|;;0;10
2019-01-23 00:33:18;2019-01-23 05:33:01;56%;4:59;:|;;0;1309
2019-01-24 01:03:43;2019-01-24 05:00:40;40%;3:56;:|;;0;379
2019-01-25 00:40:11;2019-01-25 05:01:38;48%;4:21;:|;;0;2412
2019-01-26 01:55:54;2019-01-26 06:56:51;41%;5:00;:|;;0;3970
2019-01-28 02:51:57;2019-01-28 07:39:23;52%;4:47;:|;;0;881
2019-01-29 02:45:17;2019-01-29 05:50:57;34%;3:05;:|;;0;3856
2019-01-30 00:20:54;2019-01-30 06:37:21;65%;6:16;:|;;0;671
2019-01-31 01:41:28;2019-01-31 06:23:33;49%;4:42;:|;;0;425
2019-02-01 02:28:31;2019-02-01 07:13:30;49%;4:44;:|;;0;2072
2019-02-02 02:10:45;2019-02-02 07:57:23;62%;5:46;:|;;0;2051
2019-02-04 00:10:56;2019-02-04 05:56:20;58%;5:45;:|;;0;6048
2019-02-05 00:59:16;2019-02-05 06:25:58;57%;5:26;:|;;0;2926
2019-02-06 00:39:13;2019-02-06 06:44:15;50%;6:05;:|;;0;1817
2019-02-07 00:55:43;2019-02-07 06:01:14;54%;5:05;:|;;0;5050
2019-02-08 01:11:34;2019-02-08 05:20:55;49%;4:09;:|;;0;1964
2019-02-09 01:01:39;2019-02-09 07:01:28;64%;5:59;:|;;0;763
2019-02-10 01:52:02;2019-02-10 07:27:17;61%;5:35;:|;;0;2800
